object,action,effect_sentence_1,effect_sentence_2,effect_sentence_3,effect_sentence_4,label
hair,crop,object is submerged in water,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,the object is made shorter,3
hair,crop,object becomes cooked is now firmer and edible,the object is made shorter,object is submerged in water,object becomes cooked is now firmer and edible,1
hair,crop,object is submerged in water,the object has decreased in length,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,1
hair,crop,the object is cut short,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,object is submerged in water,0
onion,cut,a object is pressed together by force,the object is being divided into small pieces,the object is made into smaller pieces,the object is divided into sections,3
onion,cut,the object is being divided into small pieces,a object is pressed together by force,the object is cut into cubes,the object is made into smaller pieces,2
onion,cut,the object is sliced into pieces,a object is pressed together by force,the object is being divided into small pieces,the object is made into smaller pieces,0
onion,cut,the object is made into smaller pieces,the object is divided into multiple pieces using a sharp kniefe,a object is pressed together by force,the object is being divided into small pieces,1
onion,cut,the object is made into smaller pieces,the object is being divided into small pieces,a object is pressed together by force,an object is split into smaller pieces,3
onion,cut,the object is being divided into small pieces,the object is chopped into many pieces,the object is made into smaller pieces,a object is pressed together by force,1
potato,cut,the object falls into pieces,the object goes from an upright and whole position to a down bisected position,the object is divided into pieces,the ball is now metres from the starting spot,0
potato,cut,the ball is now metres from the starting spot,a object is cut into smaller pieces,the object goes from an upright and whole position to a down bisected position,the object is divided into pieces,1
potato,cut,the object is divided into pieces,the object goes from an upright and whole position to a down bisected position,the ball is now metres from the starting spot,the object is sliced into many pieces,3
potato,cut,the object is divided into pieces,the ball is now metres from the starting spot,the object is divided into many pieces,the object goes from an upright and whole position to a down bisected position,2
potato,cut,the object is divided into pieces,the object goes from an upright and whole position to a down bisected position,the ball is now metres from the starting spot,the object is divided into many pieces,3
potato,cut,the object is divided into multiple pieces,the ball is now metres from the starting spot,the object goes from an upright and whole position to a down bisected position,the object is divided into pieces,0
potato,cut,the object is divided into multiple pieces,the object goes from an upright and whole position to a down bisected position,the object is divided into pieces,the ball is now metres from the starting spot,0
potato,cut,the object goes from an upright and whole position to a down bisected position,the ball is now metres from the starting spot,the object is divided into multiple pieces using a sharp knife,the object is divided into pieces,2
potato,cut,the object is divided into pieces,the ball is now metres from the starting spot,the object is in smaller ieves,the object goes from an upright and whole position to a down bisected position,2
tree,cut,the object was cut down,the object is moved through the air,an object is split into small pieces,the object is dead,3
tree,cut,the object was cut down,the object is moved through the air,an object is split into small pieces,the object may fall over and become severed from its roots causing eventual decay,3
tree,cut,the object was cut down,an object is split into small pieces,the object is moved through the air,the object has its upper section separated from its base,3
tree,cut,the object goes from an upright and whole position to a down bisected position,an object is split into small pieces,the object was cut down,the object is moved through the air,0
tree,cut,the object was severed from it root system,the object was cut down,an object is split into small pieces,the object is moved through the air,0
tree,cut,the object was cut down,the object would die as a result of being cut down,an object is split into small pieces,the object is moved through the air,1
tree,cut,the object is moved through the air,the object was cut down,the object is chopped through and falls,an object is split into small pieces,2
wood,cut,a grip is tightening on a object,the object pieces are on top of each other,the object is being separated into chunks,an object is split into small pieces,2
wood,cut,a grip is tightening on a object,the object pieces are on top of each other,the object is divided into multiple pieces using an axe or sharp thing,an object is split into small pieces,2
wood,cut,an object is split into small pieces,the object is separated into more pieces,the object pieces are on top of each other,a grip is tightening on a object,1
wood,cut,the object pieces are on top of each other,the object is made into smaller pieces so i can fit into a fire place or stacked,a grip is tightening on a object,an object is split into small pieces,1
wood,cut,a grip is tightening on a object,the object pieces are on top of each other,an object is split into small pieces,the object is divided into multiple pieces,3
wood,cut,the object is divided into pieces,the object pieces are on top of each other,a grip is tightening on a object,an object is split into small pieces,0
wood,cut,an object is split into small pieces,the object pieces are on top of each other,a grip is tightening on a object,the object is divided into pieces,3
door,fasten,the object is secured,the object is removed from the body,the object is being pulled ajar,the object is removed from the body,0
door,fasten,the object is being pulled ajar,a object is secured shut,the object is removed from the body,the object is removed from the body,1
door,fasten,the object is removed from the body,the object is locked,the object is being pulled ajar,the object is removed from the body,1
door,fasten,the object is shut completely,the object is being pulled ajar,the object is removed from the body,the object is removed from the body,0
door,fasten,the object is being pulled ajar,the object is removed from the body,the object is removed from the body,the object is secured tightly,3
door,fasten,the object is removed from the body,the object is removed from the body,the object is being pulled ajar,the object is closed and locked,3
door,fasten,the object is pressed against the frame,the object is being pulled ajar,the object is removed from the body,the object is removed from the body,0
door,fasten,the object is removed from the body,the object is being pulled ajar,the object is removed from the body,make the object so it cannot be opened,3
door,fasten,a object is being locked,the object is removed from the body,the object is being pulled ajar,the object is removed from the body,0
door,fasten,the object is removed from the body,the object becomes protected from accidentally opened,the object is being pulled ajar,the object is removed from the body,1
paper,fold,a person squeezes on a object and the contents squirt out,the object is torn,a person squeezes on a object and the contents squirt out,the object is now divided into two separate sides,3
paper,fold,a person squeezes on a object and the contents squirt out,the object is torn,a person squeezes on a object and the contents squirt out,the object becomes creased down the middle,3
paper,fold,the object is torn,a person squeezes on a object and the contents squirt out,object will be smaller in size,a person squeezes on a object and the contents squirt out,2
paper,fold,a object is picked up and creased in the middle and becomes smaller,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object is torn,0
paper,fold,the object is torn,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object will have a different shape and it is now layered on top of itself,3
paper,fold,the object i found in the grass was folded in half,the object is torn,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,0
paper,fold,a person squeezes on a object and the contents squirt out,the object is torn,the object is creased in half now,a person squeezes on a object and the contents squirt out,2
paper,fold,neatly reduce the size of the object by creasing certain points,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object is torn,0
paper,fold,object is bent in two and pressed to make a dent,the object is torn,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,0
potato,fry,the objectes have become crispy and cooked,the object is heated and sizzled to eat,the object is divided into pieces,object is carried somewhere in someones arms or on something with wheels,0
potato,fry,the object is heated and sizzled to eat,the object is divided into pieces,the object is cooked by submerging it in hot oil,object is carried somewhere in someones arms or on something with wheels,2
potato,fry,the object is heated and sizzled to eat,the raw objectes are placed into a hot pan and cooked in oil until browned,object is carried somewhere in someones arms or on something with wheels,the object is divided into pieces,1
potato,fry,the object is heated and sizzled to eat,the object is divided into pieces,the object was fried,object is carried somewhere in someones arms or on something with wheels,2
potato,fry,the object is divided into pieces,object is carried somewhere in someones arms or on something with wheels,object got fried,the object is heated and sizzled to eat,2
potato,fry,object is carried somewhere in someones arms or on something with wheels,the object is divided into pieces,the object is heated and sizzled to eat,the objectes become crisp and golden and go from raw to cooked,3
potato,fry,the object is heated and sizzled to eat,object is carried somewhere in someones arms or on something with wheels,the objectes become softer and they turn a darker color,the object is divided into pieces,2
potato,fry,the object is divided into pieces,the object is heated and sizzled to eat,object is carried somewhere in someones arms or on something with wheels,the objectes were cooked using high heat and oil,3
potato,fry,object is carried somewhere in someones arms or on something with wheels,the object is put into hot oil for a period of time in order to cook it,the object is heated and sizzled to eat,the object is divided into pieces,1
potato,grate,to make the object a different color than what it originally was,a object is ground into thin strips using a metal tool,the object is heated so it can be eaten,to make the object a different color than what it originally was,1
potato,grate,to make the object a different color than what it originally was,the object is heated so it can be eaten,to make the object a different color than what it originally was,the object is now in tiny pieces,3
potato,grate,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated so it can be eaten,the object is cut into many small pieces,3
potato,grate,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated so it can be eaten,the object has its outside being take off,3
potato,grate,the object is being sliced into small sheddings,the object is heated so it can be eaten,to make the object a different color than what it originally was,to make the object a different color than what it originally was,0
potato,grate,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is shred by rubbing against a grater,the object is heated so it can be eaten,2
potato,grate,to make the object a different color than what it originally was,the object can be cooked quickly from small pieces,the object is heated so it can be eaten,to make the object a different color than what it originally was,1
potato,grate,to make the object a different color than what it originally was,the object is heated so it can be eaten,to make the object a different color than what it originally was,the object is made into fine shreds,3
potato,grate,to make the object a different color than what it originally was,the object is heated so it can be eaten,to make the object a different color than what it originally was,little pieces of object are made,3
potato,grate,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated so it can be eaten,the object is grated in the recipe,3
meat,grind,the object is warmed for eating,object is mashed into pieces,the object is divided in pieces,the object is warmed for eating,1
meat,grind,the object is divided in pieces,the object is in many tiny pieces,the object is warmed for eating,the object is warmed for eating,1
meat,grind,the object is being prepped to make burgers,the object is warmed for eating,the object is warmed for eating,the object is divided in pieces,0
meat,grind,the object is warmed for eating,the mead is made into a pulp,the object is divided in pieces,the object is warmed for eating,1
meat,grind,the object is being processed into a ground mixture,the object is warmed for eating,the object is divided in pieces,the object is warmed for eating,0
meat,grind,the object is warmed for eating,the object is warmed for eating,the object is being separated,the object is divided in pieces,2
meat,grind,the object is cut into different pieces,the object is divided in pieces,the object is warmed for eating,the object is warmed for eating,0
meat,grind,the object is divided in pieces,the object is warmed for eating,the object is warmed for eating,make the object into a pulp,3
shirt,hang,the object is cut in two,the object is hanging in the closet,the object is cut in two,the object is discolored by a foreign substance,1
shirt,hang,the object is cut in two,the object is discolored by a foreign substance,the object is cut in two,the object is hanging on the wall,3
shirt,hang,the object is discolored by a foreign substance,a object is suspended from a hanger,the object is cut in two,the object is cut in two,1
shirt,hang,the object is attached to a hanger,the object is cut in two,the object is discolored by a foreign substance,the object is cut in two,0
shirt,hang,the object is discolored by a foreign substance,the object is cut in two,the object should hang in the closet,the object is cut in two,2
shirt,hang,the object is put away for later,the object is discolored by a foreign substance,the object is cut in two,the object is cut in two,0
shirt,hang,the object is cut in two,the object is cut in two,the object is hung on the rack,the object is discolored by a foreign substance,2
shirt,hang,the object is cut in two,the object is discolored by a foreign substance,the object is put on a hanger,the object is cut in two,2
shirt,hang,the object is cut in two,the object is discolored by a foreign substance,the object is cut in two,the object is being suspended on a hanger,3
wood,ignite,stack the object together in a group,object becomes a charred remain devoid of life,the object is lit on fire,object becomes a charred remain devoid of life,2
wood,ignite,stack the object together in a group,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,the object is set on fire with matches,3
wood,ignite,object becomes a charred remain devoid of life,the object is lit on fire,stack the object together in a group,object becomes a charred remain devoid of life,1
wood,ignite,the object is exposed to fire,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,stack the object together in a group,0
wood,ignite,the object was being burned for the fire,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,stack the object together in a group,0
wood,ignite,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,the object is on fire,stack the object together in a group,2
wood,ignite,to catch a piece of object or a objecten thing on fire it burns,object becomes a charred remain devoid of life,stack the object together in a group,object becomes a charred remain devoid of life,0
wood,ignite,object becomes a charred remain devoid of life,the object catches on fire,stack the object together in a group,object becomes a charred remain devoid of life,1
wood,ignite,the object is lit on fire,object becomes a charred remain devoid of life,stack the object together in a group,object becomes a charred remain devoid of life,0
wood,ignite,stack the object together in a group,object becomes a charred remain devoid of life,the object is set on fire,object becomes a charred remain devoid of life,2
key,insert,the object gets tangled up,the object gets tangled up,the object gets tangled up,the object unlocks the door and he opens it,3
key,insert,the object gets tangled up,the tip of the object has been put inside something,the object gets tangled up,the object gets tangled up,1
key,insert,the object gets tangled up,the object gets tangled up,the object goes inside a lock and twists to open the mechanism,the object gets tangled up,2
key,insert,the object fit in the lock and opened it,the object gets tangled up,the object gets tangled up,the object gets tangled up,0
key,insert,the object gets tangled up,the object gets tangled up,the object was inserted,the object gets tangled up,2
key,insert,the object gets tangled up,the object gets tangled up,the object goes into the hole,the object gets tangled up,2
key,insert,the object gets tangled up,the object is now in the objecthole,the object gets tangled up,the object gets tangled up,1
key,insert,the object gets tangled up,the object gets tangled up,the object gets tangled up,the object is put into the lock to unlock it,3
key,insert,the object gets tangled up,the object gets tangled up,the object turned around and opened the lock,the object gets tangled up,2
key,insert,the object gets tangled up,the object gets tangled up,the object gets tangled up,the object was in the lock,3
football,kick,the object is divided into pieces,the object is flying through the air,the object is divided into pieces,the object is hit with a foot,3
football,kick,the object is divided into pieces,a object is struck with a foot,the object is flying through the air,the object is divided into pieces,1
football,kick,the object is hit with the foot and flies through the air,the object is divided into pieces,the object is divided into pieces,the object is flying through the air,0
football,kick,the object flew through the field,the object is divided into pieces,the object is flying through the air,the object is divided into pieces,0
football,kick,the object is flying through the air,the object is divided into pieces,the object is hit with the foot to send it flying through the air,the object is divided into pieces,2
football,kick,the object flies in the air,the object is flying through the air,the object is divided into pieces,the object is divided into pieces,0
football,kick,the object is flying through the air,the object is divided into pieces,the object is divided into pieces,the object is flying through the air,0
football,kick,the object is divided into pieces,the object is flying through the air,the object flies away,the object is divided into pieces,2
football,kick,the object is flying through the air,the object is divided into pieces,the object is divided into pieces,the object is flying in the air,3
rope,knot,the object becomes shaped like a coil,the contents of the object are extracted,the loose object undergoes a change to a condition of being tightly knotted,the contents of the object are extracted,2
rope,knot,the contents of the object are extracted,the object becomes shaped like a coil,the contents of the object are extracted,the object was tightly bound in a particular position,3
rope,knot,the object is arranged in a particular fashion to fasten items together,the object becomes shaped like a coil,the contents of the object are extracted,the contents of the object are extracted,0
rope,knot,the object will be tied together no loose ends,the object becomes shaped like a coil,the contents of the object are extracted,the contents of the object are extracted,0
rope,knot,the contents of the object are extracted,the object becomes shaped like a coil,the object was tied into a knot shape,the contents of the object are extracted,2
rope,knot,the object was strong,the object becomes shaped like a coil,the contents of the object are extracted,the contents of the object are extracted,0
rope,knot,the contents of the object are extracted,the condition of the object changes from being loose and untied to being tightly knotted,the object becomes shaped like a coil,the contents of the object are extracted,1
rope,knot,the object is tied in such a way that it becomes more secure,the object becomes shaped like a coil,the contents of the object are extracted,the contents of the object are extracted,0
rope,knot,the contents of the object are extracted,the contents of the object are extracted,the object becomes shaped like a coil,the object is twisted around itself,3
bottle,label,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the cork is out of the object,2
bottle,label,the cork is out of the object,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object is affixed with a label describing it contents,3
bottle,label,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object had information displayed attached to it and displayed,the cork is out of the object,2
bottle,label,a object is dropped into a dirty bucket,the cork is out of the object,a object is dropped into a dirty bucket,the object has a sign on it that says it is poisonous,3
bottle,label,a object is picked up and a description is affixed to the exterior to warn of potential hazard,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the cork is out of the object,0
bottle,label,a object is dropped into a dirty bucket,the cork is out of the object,a piece of paper is attached to the object that designates what is in the object,a object is dropped into a dirty bucket,2
bottle,label,the doctor provides information on the object about the contents of the object,a object is dropped into a dirty bucket,the cork is out of the object,a object is dropped into a dirty bucket,0
cabinet,lock,the object is split into pieces,the object was opened to get a cup out,the object has its frame being secured against the panel,the object cannot be moved,3
cabinet,lock,the object was opened to get a cup out,the object is split into pieces,the object is shut and secured,the object has its frame being secured against the panel,2
cabinet,lock,the object was opened to get a cup out,the object has its frame being secured against the panel,the object is split into pieces,the object is being secured,3
cabinet,lock,the object was opened to get a cup out,the object has its frame being secured against the panel,the object is split into pieces,the object is secured with a mechanism that requires a key to open it,3
cabinet,lock,the object is secured,the object has its frame being secured against the panel,the object was opened to get a cup out,the object is split into pieces,0
cabinet,lock,the object is shut so it cant be opened,the object was opened to get a cup out,the object has its frame being secured against the panel,the object is split into pieces,0
cabinet,lock,the object has its frame being secured against the panel,the object is made secure,the object was opened to get a cup out,the object is split into pieces,1
cabinet,lock,a object is secured shut,the object is split into pieces,the object was opened to get a cup out,the object has its frame being secured against the panel,0
cabinet,lock,before you leave the house you should lock the object,the object has its frame being secured against the panel,the object was opened to get a cup out,the object is split into pieces,0
window,lock,the object has its frame being secured against the panel,the object is gathered into one rising area,the object was shut,the object cannot be moved,0
window,lock,the object is gathered into one rising area,the object cannot be moved,the object was shut,the object is made so it cannot be opened,3
window,lock,the object was shut,the object cannot be moved,the object is shut so it cannot move,the object is gathered into one rising area,2
window,lock,the object cannot be moved,the object becomes protected from being opened,the object is gathered into one rising area,the object was shut,1
window,lock,the object is secured preventing intruders,the object cannot be moved,the object was shut,the object is gathered into one rising area,0
window,lock,the object cannot be moved,the object was shut,the object is gathered into one rising area,a object is secured shut,3
window,lock,the object cannot be moved,the object cannot be opened easily,the object is gathered into one rising area,the object was shut,1
window,lock,the object cannot be moved,the object was shut,the object is gathered into one rising area,the object door is closed and locked,3
window,lock,the object was shut,the object is being secured,the object is gathered into one rising area,the object cannot be moved,1
potato,mash,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated so it can be eaten,the object crumbles up,3
potato,mash,the object is heated so it can be eaten,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is smushed into a softer form,3
potato,mash,a object is smashed into a paste,to make the object a different color than what it originally was,the object is heated so it can be eaten,to make the object a different color than what it originally was,0
potato,mash,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated so it can be eaten,the objectes much softer,3
potato,mash,to make the object a different color than what it originally was,the object is crushed into a paste,the object is heated so it can be eaten,to make the object a different color than what it originally was,1
potato,mash,the object is heated so it can be eaten,to make the object a different color than what it originally was,the object is squished into pieces,to make the object a different color than what it originally was,2
potato,mash,the object is heated so it can be eaten,to make the object a different color than what it originally was,the object is crushed into small soft pieces,to make the object a different color than what it originally was,2
potato,mash,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated so it can be eaten,the object changes from firm to soft,3
potato,mash,the object is heated so it can be eaten,the object is for my dinner,to make the object a different color than what it originally was,to make the object a different color than what it originally was,1
potato,mash,to make the object a different color than what it originally was,the object is heated so it can be eaten,to make the object a different color than what it originally was,the object is made into a pulp,3
eggs,mix,the contents of the object are extracted,the contents of the object are extracted,the objects lose their original shape and change into a frothy mixture,the objects are scrambled,2
eggs,mix,the contents of the object are extracted,the contents of the object are extracted,objects become uniform in mixture,the objects are scrambled,2
eggs,mix,the contents of the object are extracted,the parts of the object combine together to form one whole,the contents of the object are extracted,the objects are scrambled,1
eggs,mix,the contents of the object are extracted,the contents of the object are extracted,the objects are scrambled,the objects become a uniform consistency and turn yellow,3
eggs,mix,the contents of the object are extracted,the objects are scrambled,yolk breaks on the objects and they become one color objects become more fluid,the contents of the object are extracted,2
eggs,mix,the contents of the object are extracted,the objects begin to foam,the contents of the object are extracted,the objects are scrambled,1
eggs,mix,the contents of the object are extracted,the contents of the object are extracted,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the objects are scrambled,2
eggs,mix,the state of the objects changes the objects get beat together,the contents of the object are extracted,the contents of the object are extracted,the objects are scrambled,0
eggs,mix,the contents of the object are extracted,the objects are scrambled,the contents of the object are extracted,the yolk and white of the object are completely blended together,3
eggs,mix,the contents of the object are extracted,the objects change color the objects change consistency,the objects are scrambled,the contents of the object are extracted,1
bottle,open,the cork is out of the object,the metallic supports of an object are extended outwards,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the object divides into two torn sections,0
bottle,open,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the object divides into two torn sections,the metallic supports of an object are extended outwards,the object is now without a lid so its contents are open to the air,3
bottle,open,the object has its cork pulled out and can be poured,the object divides into two torn sections,the metallic supports of an object are extended outwards,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,0
bottle,open,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the object divides into two torn sections,the metallic supports of an object are extended outwards,the cork comes out of the object,3
bottle,open,the metallic supports of an object are extended outwards,the object of wine was opened to access the contents,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the object divides into two torn sections,1
bottle,open,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the object divides into two torn sections,the metallic supports of an object are extended outwards,the object was opened,3
bottle,open,the object divides into two torn sections,the object was opened,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the metallic supports of an object are extended outwards,1
bottle,open,the object is unsealed or cap is removed,the metallic supports of an object are extended outwards,the object divides into two torn sections,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,0
bottle,open,the metallic supports of an object are extended outwards,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the top to the object of wine is removed for drinking,the object divides into two torn sections,2
bottle,open,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,a object has its lid removed in preparation for serving,the object divides into two torn sections,the metallic supports of an object are extended outwards,1
cabinet,open,the object was opened to get a cup out,the object is well mixed,the object cannot be moved,a object is opened allowing you to enter the room,0
cabinet,open,a object is opened allowing you to enter the room,the object cannot be moved,the object door is being swung ajar,the object is well mixed,2
cabinet,open,the object door is ajar,a object is opened allowing you to enter the room,the object cannot be moved,the object is well mixed,0
cabinet,open,the object is well mixed,the object cannot be moved,the doors of the object are being pulled by hands,a object is opened allowing you to enter the room,2
cabinet,open,the openable part of the object moves to allow you to see inside,the object cannot be moved,a object is opened allowing you to enter the room,the object is well mixed,0
cabinet,open,the object cannot be moved,the object is having its contents revealed,a object is opened allowing you to enter the room,the object is well mixed,1
cabinet,open,a object is opened allowing you to enter the room,the object is well mixed,the door to a object is being swung out,the object cannot be moved,2
cabinet,open,the object cannot be moved,the object is well mixed,a object is opened allowing you to enter the room,the object door is open giving access to the contents,3
drawer,open,the metallic supports of an object are extended outwards,the contents of the object are accessible,the object has its body pressed against the frame,there is an abrasion of the skin on the object,1
drawer,open,the object will not close,there is an abrasion of the skin on the object,the object has its body pressed against the frame,the metallic supports of an object are extended outwards,0
drawer,open,the object has its body pressed against the frame,the metallic supports of an object are extended outwards,the object contents are being exposed,there is an abrasion of the skin on the object,2
drawer,open,kim should open the draer to put stuff away,the metallic supports of an object are extended outwards,there is an abrasion of the skin on the object,the object has its body pressed against the frame,0
drawer,open,the object has its body pressed against the frame,the object will slide out,the metallic supports of an object are extended outwards,there is an abrasion of the skin on the object,1
drawer,open,there is an abrasion of the skin on the object,the object is put into a position in which it contents can be accessed,the metallic supports of an object are extended outwards,the object has its body pressed against the frame,1
drawer,open,a object is being pulled out,the metallic supports of an object are extended outwards,the object has its body pressed against the frame,there is an abrasion of the skin on the object,0
drawer,open,the metallic supports of an object are extended outwards,there is an abrasion of the skin on the object,the object has its body pressed against the frame,a object is pulled open to show its contents,3
drawer,open,there is an abrasion of the skin on the object,the metallic supports of an object are extended outwards,the object has its body pressed against the frame,you can see what is inside the object,3
drawer,open,the metallic supports of an object are extended outwards,the object has its body pressed against the frame,there is an abrasion of the skin on the object,a object in a cabinet is pulled partially out of the cabinet,3
umbrella,open,the object expands,a object is pulled open to show its contents,an open object is arranged so it is no longer open,there is an abrasion of the skin on the object,0
umbrella,open,a object is pulled open to show its contents,the object is spread so it can protect from the rain or other precipitation,an open object is arranged so it is no longer open,there is an abrasion of the skin on the object,1
umbrella,open,a object is pulled open to show its contents,there is an abrasion of the skin on the object,an open object is arranged so it is no longer open,the object can now protect from rain,3
umbrella,open,a object is pulled open to show its contents,an object is opened up and exposed,an open object is arranged so it is no longer open,there is an abrasion of the skin on the object,1
umbrella,open,the object will open up wider to shield you from rain,there is an abrasion of the skin on the object,a object is pulled open to show its contents,an open object is arranged so it is no longer open,0
umbrella,open,a object is pulled open to show its contents,an open object is arranged so it is no longer open,the object is made bigger to protect from rain,there is an abrasion of the skin on the object,2
umbrella,open,there is an abrasion of the skin on the object,an open object is arranged so it is no longer open,a object is pulled open to show its contents,the metallic supports of an object are extended outwards,3
umbrella,open,an open object is arranged so it is no longer open,the object goes from being small in size to large,there is an abrasion of the skin on the object,a object is pulled open to show its contents,1
umbrella,open,there is an abrasion of the skin on the object,the object is shielding me from the rain,an open object is arranged so it is no longer open,a object is pulled open to show its contents,1
window,open,the object is no longer shut so air from outside can enter,the object was left ajar,outside brown layer of object is taken off leaving only the white inside,the object is made so it cannot be opened,0
window,open,the object is made so it cannot be opened,outside brown layer of object is taken off leaving only the white inside,the object is open,the object was left ajar,2
window,open,the object is made so it cannot be opened,outside brown layer of object is taken off leaving only the white inside,the object is lifted and air can flow freely through it,the object was left ajar,2
window,open,outside brown layer of object is taken off leaving only the white inside,the object was left ajar,the object is moved to allow air to come through,the object is made so it cannot be opened,2
window,open,the object was left ajar,the object is no longer closed,the object is made so it cannot be opened,outside brown layer of object is taken off leaving only the white inside,1
car,park,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object comes to a stop and rests until the driver returns,3
car,park,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,the object was brought to a stop and left temporarily,3
car,park,a object is dropped into a dirty bucket,the object goes from moving to stationary,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,1
car,park,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,the object brakes are applied and its gear is shifted into park so it stays in one place,a object is dropped into a dirty bucket,2
car,park,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object is stationary and out of the way of traffic,3
car,park,the object is put into a stationary position and is unable to be moved,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,0
car,park,a object is dropped into a dirty bucket,the object is left un moving for later retrieval,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,1
car,park,the object is parked on the side of the street along the curb,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,0
car,park,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object stops moving and stands still in a proper area,3
apple,peel,the inside flesh of the object is made visible,the object is dropped and shattered,the objecte skin is removed,the object is flying high in the air,0
apple,peel,the object is dropped and shattered,the objecte skin is removed,the object is having its skin removed,the object is flying high in the air,2
apple,peel,the object is flying high in the air,the skin is removed from the object,the objecte skin is removed,the object is dropped and shattered,1
apple,peel,the object is flying high in the air,the object is dropped and shattered,the skin is cut off an object,the objecte skin is removed,2
apple,peel,the object peel is removed,the objecte skin is removed,the object is flying high in the air,the object is dropped and shattered,0
apple,peel,the object is dropped and shattered,the objecte skin is removed,using an object peeler over the sink,the object is flying high in the air,2
orange,peel,the object becomes shaped like a coil,the object has no skin,the object becomes shaped like a coil,the skin of the object is removed,1
orange,peel,the skin of the object is removed,the object becomes shaped like a coil,the object becomes shaped like a coil,the rind is being removed from the object,3
orange,peel,the skin of the object is removed,the object becomes shaped like a coil,the peel on the object is removed,the object becomes shaped like a coil,2
orange,peel,the object becomes shaped like a coil,the object becomes shaped like a coil,the inside of the object is made visible,the skin of the object is removed,2
orange,peel,the skin of the object is removed,the object becomes shaped like a coil,the object skin is taken off,the object becomes shaped like a coil,2
orange,peel,the object becomes shaped like a coil,the object becomes shaped like a coil,the skin of the object is removed,an object is peeled with your fingers,3
orange,peel,the object becomes shaped like a coil,the skin of the object is removed,the object becomes shaped like a coil,an object outer skin is removed,3
orange,peel,the skin of the object is removed,the object becomes shaped like a coil,the skin is removed from the object,the object becomes shaped like a coil,2
potato,peel,the object is heated so it can be eaten,the object has its outer skin removed,the objecte skin is removed,the ball is now metres from the starting spot,2
potato,peel,the object is heated so it can be eaten,the ball is now metres from the starting spot,the object has its outer skin removed,the skin of the object is being removed,3
potato,peel,the ball is now metres from the starting spot,the object has its outer skin removed,the object is heated so it can be eaten,the skin of the object is removed,3
potato,peel,the ball is now metres from the starting spot,the object has its outer skin removed,the object is heated so it can be eaten,the skin of a object is removed,3
potato,peel,the object has its outer skin removed,the object is heated so it can be eaten,the ball is now metres from the starting spot,the skin is removed from the object,3
potato,peel,the ball is now metres from the starting spot,the object is heated so it can be eaten,the object has its outer skin removed,the object skin is taken off,3
potato,peel,the object has its outer skin removed,the object is heated so it can be eaten,the ball is now metres from the starting spot,the skin of the object is being taken off,3
